time,temperatura,entrada
224250,80.3,0
224400,80.3,0
224550,80.3,0
224700,80.3,0
224850,80.3,0
225000,80.3,0
225150,80.3,0
225300,80.2,0
225450,80.2,1
225600,80.2,1
225750,80.2,0
225900,80.2,0
226050,80.2,0
226200,80.2,0
226350,80.2,0
226500,80.2,0
226650,80.2,0
226800,80.2,0
226950,80.2,0
227100,80.2,0
227250,80.2,0
227400,80.2,0
227550,80.2,0
227700,80.1,1
227850,80.1,1
228000,80.1,1
228150,80.1,0
228300,80.1,0
228450,80.1,0
228600,80.1,0
228750,80.1,0
228900,80.1,0
229050,80.1,0
229200,80.1,0
229350,80.1,0
229500,80.1,0
229650,80.1,0
229800,80.1,0
229950,80.1,0
230100,80.1,0
230250,80.1,0
230400,80.1,0
230550,80.1,0
230700,80.1,0
230850,80.1,0
231000,80.1,0
231150,80.1,0
231300,80.1,0
231450,80.1,0
231600,80.1,0
231750,80,1
231900,80,1
232050,80,1
232200,80,0
232350,80,0
232500,80,0
232650,80,0
232800,80,0
232950,80,0
233100,80,0
233250,80,0
233400,80,0
233550,80,0
233700,80,0
233850,80,0
234000,80,0
234150,80,0
234300,80,0
234450,80,0
234600,80,0
234750,80,0
234900,79.9,1
235050,79.9,1
235200,79.9,1
235350,79.9,1
235500,79.9,1
235650,79.9,1
235800,79.9,1
235950,79.9,1
236100,79.9,1
236250,79.9,1
236400,79.9,1
236550,79.9,1
236700,79.9,1
236850,79.9,1
237000,79.9,1
237150,79.9,1
237300,79.9,1
237450,79.9,1
237600,79.8,1
237750,79.8,1
237900,79.8,1
238050,79.8,1
238200,79.8,1
238350,79.8,1
238500,79.8,1
238650,79.8,1
238800,79.8,1
238950,79.8,1
239100,79.8,1
239250,79.7,1
239400,79.7,1
239550,79.7,1
239700,79.7,1
239850,79.7,1
240000,79.7,1
240150,79.7,1
240300,79.7,1
240450,79.7,1
240600,79.7,1
