time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,PWM
1970-1-1-0:42:25,31.6,31.3,1.895061,1.781762,TRUE,TRUE,0.0
1970-1-1-0:42:26,31.6,31.3,1.837711,1.793254,TRUE,TRUE,0.0
1970-1-1-0:42:26,31.6,31.3,1.803301,1.793254,TRUE,TRUE,0.0
1970-1-1-0:42:26,31.6,31.3,1.791832,1.816241,TRUE,TRUE,0.0
1970-1-1-0:42:27,31.7,31.3,1.814771,1.885199,TRUE,TRUE,0.0
1970-1-1-0:42:27,31.7,31.3,1.837711,0.770375,TRUE,TRUE,0.0
1970-1-1-0:42:27,31.6,31.3,1.849181,0.264682,TRUE,TRUE,0.0
1970-1-1-0:42:28,31.6,31.3,1.860651,0.0693002,TRUE,TRUE,0.0
1970-1-1-0:42:28,31.6,31.3,1.860651,0.0233281,TRUE,TRUE,0.0
1970-1-1-0:42:28,31.6,31.3,1.849181,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:29,31.6,31.3,1.860651,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:29,31.6,31.3,2.101518,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:30,31.6,31.3,1.424795,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:30,31.6,31.3,0.862771,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:30,31.6,31.3,0.312217,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:31,31.6,31.3,0.105759,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:31,31.6,31.3,0.0369398,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:32,31.6,31.3,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:32,31.6,31.3,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:32,31.6,31.3,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:33,31.6,31.3,0.518675,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:33,31.6,31.3,1.02335,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:33,31.6,31.3,1.355976,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:34,31.6,31.3,0.885711,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:34,31.6,31.3,0.346627,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:34,31.6,31.3,0.644843,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:35,31.6,31.3,0.621904,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:35,31.6,31.3,0.621904,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:36,31.6,31.3,0.541615,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:42:36,31.6,31.3,0.576024,3.42e-4,TRUE,TRUE,0.0
