time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y
2015-8-27 12:0:3,63.4,151.8,1.138048,0.000342
2015-8-27 12:0:4,63.4,151.7,1.160988,0.000342
2015-8-27 12:0:6,63.4,151.6,1.160988,0.000342
2015-8-27 12:0:7,63.4,151.6,1.206868,0.000342
2015-8-27 12:0:9,63.4,151.5,1.229807,0.276175
2015-8-27 12:0:11,63.4,151.5,1.287157,0.724403
2015-8-27 12:0:12,63.4,151.4,1.310097,0.781868
2015-8-27 12:0:14,63.4,151.4,1.321566,0.94277
2015-8-27 12:0:15,63.4,151.3,1.298627,1.000236
2015-8-27 12:0:17,63.4,151.2,1.287157,1.023222
2015-8-27 12:0:19,63.4,151.2,1.275687,1.057701
2015-8-27 12:0:20,63.4,151.2,1.298627,1.09218
2015-8-27 12:0:22,63.5,151.2,1.333036,1.115166
2015-8-27 12:0:23,63.5,151.2,1.378916,1.149645
2015-8-27 12:0:25,63.5,151.2,1.424795,1.161138
2015-8-27 12:0:27,63.5,151.2,1.447735,1.138152
2015-8-27 12:0:28,63.5,151.2,1.493615,1.149645
2015-8-27 12:0:30,63.5,151.2,1.596844,1.138152
2015-8-27 12:0:31,63.5,151.2,1.516554,1.172631
2015-8-27 12:0:33,63.5,151.2,1.550964,1.195617
2015-8-27 12:0:35,63.5,151.3,1.585374,1.230096
2015-8-27 12:0:36,63.5,151.3,1.631253,1.241589
2015-8-27 12:0:38,63.5,151.3,1.700073,1.276068
2015-8-27 12:0:39,63.5,151.4,1.734482,1.32204
2015-8-27 12:0:41,63.5,151.4,1.768892,1.413985
2015-8-27 12:0:43,63.5,151.4,1.745952,1.345026
2015-8-27 12:0:44,63.5,151.4,1.745952,1.368012
2015-8-27 12:0:46,63.5,151.4,1.700073,1.402492
2015-8-27 12:0:47,63.5,151.4,1.654193,1.436971
2015-8-27 12:0:49,63.5,151.4,1.596844,1.517422
2015-8-27 12:0:51,63.5,151.4,1.528024,1.540408
2015-8-27 12:0:52,63.5,151.4,1.505085,1.517422
2015-8-27 12:0:54,63.5,151.5,1.505085,1.482943
2015-8-27 12:0:55,63.5,151.5,1.505085,1.436971
2015-8-27 12:0:57,63.5,151.4,1.482145,1.448464
2015-8-27 12:0:59,63.5,151.4,1.447735,1.402492
2015-8-27 12:1:0,63.5,151.3,1.401856,1.390998
2015-8-27 12:1:2,63.5,151.3,1.390386,1.356519
2015-8-27 12:1:3,63.5,151.2,1.355976,1.333533
2015-8-27 12:1:5,63.5,151.2,1.321566,1.32204
2015-8-27 12:1:7,63.5,151.2,1.287157,1.32204
2015-8-27 12:1:8,63.5,151.1,1.287157,1.287561
2015-8-27 12:1:10,63.5,151,1.367446,1.241589
2015-8-27 12:1:11,63.5,151,1.287157,1.218603
2015-8-27 12:1:13,63.6,151,1.264217,1.172631
2015-8-27 12:1:15,63.6,150.9,1.275687,1.161138
2015-8-27 12:1:16,63.6,150.9,1.287157,1.115166
2015-8-27 12:1:18,63.6,150.9,1.275687,1.09218
2015-8-27 12:1:19,63.7,150.8,1.298627,1.103673
2015-8-27 12:1:21,63.6,150.7,1.298627,1.172631
2015-8-27 12:1:23,63.6,150.7,1.310097,1.115166
2015-8-27 12:1:24,63.6,150.7,1.344506,1.09218
2015-8-27 12:1:26,63.6,150.7,1.355976,1.115166
2015-8-27 12:1:27,63.6,150.6,1.344506,1.09218
2015-8-27 12:1:29,63.6,150.6,1.344506,1.09218
2015-8-27 12:1:31,63.6,150.6,1.355976,1.103673
2015-8-27 12:1:32,63.6,150.6,1.344506,1.161138
2015-8-27 12:1:34,63.6,150.6,1.333036,1.149645
2015-8-27 12:1:35,63.6,150.6,1.298627,1.149645
2015-8-27 12:1:37,63.6,150.6,1.310097,1.138152
2015-8-27 12:1:39,63.6,150.6,1.310097,1.138152
2015-8-27 12:1:40,63.6,150.6,1.310097,1.149645
2015-8-27 12:1:42,63.6,150.6,1.333036,1.161138
2015-8-27 12:1:43,63.6,150.6,1.333036,1.161138
2015-8-27 12:1:45,63.7,150.7,1.321566,1.138152
2015-8-27 12:1:47,63.7,150.6,1.321566,1.149645
2015-8-27 12:1:48,63.7,150.7,1.321566,1.149645
2015-8-27 12:1:50,63.7,150.6,1.321566,1.149645
2015-8-27 12:1:51,63.7,150.6,1.367446,1.161138
2015-8-27 12:1:53,63.7,150.6,1.390386,1.172631
2015-8-27 12:1:55,63.7,150.7,1.401856,1.20711
2015-8-27 12:1:56,63.7,150.6,1.436265,1.184124
2015-8-27 12:1:58,63.7,150.6,1.447735,1.184124
2015-8-27 12:1:59,63.7,150.6,1.424795,1.184124
2015-8-27 12:2:1,63.7,150.6,1.424795,1.195617
2015-8-27 12:2:3,63.7,150.6,1.413326,1.230096
2015-8-27 12:2:4,63.7,150.6,1.413326,1.241589
2015-8-27 12:2:6,63.7,150.6,1.390386,1.264575
2015-8-27 12:2:7,63.7,150.5,1.367446,1.299054
2015-8-27 12:2:9,63.6,150.6,1.344506,1.310547
2015-8-27 12:2:11,63.7,150.5,1.287157,1.264575
2015-8-27 12:2:12,63.6,150.5,1.264217,1.241589
2015-8-27 12:2:14,63.7,150.4,1.206868,1.230096
2015-8-27 12:2:15,63.7,150.4,1.160988,1.230096
2015-8-27 12:2:17,63.6,150.4,1.115109,1.20711
2015-8-27 12:2:19,63.7,150.3,1.069229,1.184124
2015-8-27 12:2:20,63.6,150.3,1.046289,1.161138
2015-8-27 12:2:22,63.6,150.3,1.00041,1.126659
2015-8-27 12:2:23,63.6,150.2,0.966,1.103673
2015-8-27 12:2:25,63.6,150.2,0.300747,1.069194
2015-8-27 12:2:27,63.6,150.1,0.243398,1.034715
2015-8-27 12:2:28,63.6,150.1,0.874241,1.011729
2015-8-27 12:2:30,63.6,150,0.507205,0.988742
2015-8-27 12:2:31,63.6,150,0.805422,0.816347
2015-8-27 12:2:33,63.6,150,0.920121,0.632459
2015-8-27 12:2:35,63.6,150,0.97747,0.000342
