time,PARO,S por vuelta de ex
2015-21-7-11:47:38,FALSE,T#30s
2015-21-7-11:47:39,FALSE,T#30s
2015-21-7-11:47:40,FALSE,T#30s
2015-21-7-11:47:42,FALSE,T#29s999ms
2015-21-7-11:47:43,FALSE,T#29s999ms
2015-21-7-11:47:45,FALSE,T#29s999ms
2015-21-7-11:47:46,FALSE,T#29s999ms
2015-21-7-11:47:47,FALSE,T#29s999ms
2015-21-7-11:47:49,FALSE,T#29s999ms
2015-21-7-11:47:50,FALSE,T#29s999ms
2015-21-7-11:47:52,FALSE,T#29s999ms
2015-21-7-11:47:53,FALSE,T#29s999ms
2015-21-7-11:47:54,FALSE,T#29s999ms
2015-21-7-11:47:56,FALSE,T#29s999ms
2015-21-7-11:47:57,FALSE,T#29s999ms
2015-21-7-11:47:59,FALSE,T#29s999ms
2015-21-7-11:48:0,FALSE,T#29s999ms
2015-21-7-11:48:1,FALSE,T#29s999ms
2015-21-7-11:48:3,FALSE,T#29s999ms
2015-21-7-11:48:4,FALSE,T#29s999ms
2015-21-7-11:48:6,FALSE,T#29s999ms
2015-21-7-11:48:7,FALSE,T#29s999ms
2015-21-7-11:48:8,FALSE,T#29s999ms
2015-21-7-11:48:10,FALSE,T#29s999ms
2015-21-7-11:48:11,FALSE,T#29s999ms
2015-21-7-11:48:13,FALSE,T#30s1ms
2015-21-7-11:48:14,FALSE,T#30s1ms
2015-21-7-11:48:15,FALSE,T#30s1ms
2015-21-7-11:48:17,FALSE,T#30s1ms
2015-21-7-11:48:18,FALSE,T#30s1ms
2015-21-7-11:48:20,FALSE,T#30s1ms
2015-21-7-11:48:21,FALSE,T#30s1ms
2015-21-7-11:48:22,FALSE,T#30s1ms
2015-21-7-11:48:24,FALSE,T#30s1ms
2015-21-7-11:48:25,FALSE,T#30s1ms
2015-21-7-11:48:27,FALSE,T#30s1ms
2015-21-7-11:48:28,FALSE,T#30s1ms
2015-21-7-11:48:29,FALSE,T#30s1ms
2015-21-7-11:48:31,FALSE,T#30s1ms
2015-21-7-11:48:32,FALSE,T#30s1ms
2015-21-7-11:48:34,FALSE,T#30s1ms
2015-21-7-11:48:35,FALSE,T#30s1ms
2015-21-7-11:48:36,FALSE,T#30s1ms
2015-21-7-11:48:38,FALSE,T#30s1ms
2015-21-7-11:48:39,FALSE,T#30s1ms
2015-21-7-11:48:41,FALSE,T#30s1ms
2015-21-7-11:48:42,FALSE,T#30s
2015-21-7-11:48:43,FALSE,T#30s
2015-21-7-11:48:45,FALSE,T#30s
2015-21-7-11:48:46,FALSE,T#30s
2015-21-7-11:48:48,FALSE,T#30s
2015-21-7-11:48:49,FALSE,T#30s
2015-21-7-11:48:50,FALSE,T#30s
2015-21-7-11:48:52,FALSE,T#30s
2015-21-7-11:48:53,FALSE,T#30s
2015-21-7-11:48:55,FALSE,T#30s
2015-21-7-11:48:56,FALSE,T#30s
2015-21-7-11:48:57,FALSE,T#30s
2015-21-7-11:48:59,FALSE,T#30s
2015-21-7-11:49:0,FALSE,T#30s
2015-21-7-11:49:2,FALSE,T#30s
2015-21-7-11:49:3,FALSE,T#30s
2015-21-7-11:49:4,FALSE,T#30s
2015-21-7-11:49:6,FALSE,T#30s
2015-21-7-11:49:7,FALSE,T#30s
2015-21-7-11:49:9,FALSE,T#30s
2015-21-7-11:49:10,FALSE,T#30s
2015-21-7-11:49:11,FALSE,T#29s
2015-21-7-11:49:13,FALSE,T#29s
