time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD,,
2015-14-7-9:55:12,61.1,136.3,1.883591,1.919678,1.9016345,TRUE,TRUE,0.75,,
2015-14-7-9:55:13,61.1,136.2,1.872121,1.942664,1.9073925,TRUE,TRUE,0.75,,
2015-14-7-9:55:15,61.1,136.2,1.883591,1.942664,1.9131275,TRUE,TRUE,0.75,,
2015-14-7-9:55:16,61.1,136.2,1.90653,1.908185,1.9073575,TRUE,TRUE,0.75,,
2015-14-7-9:55:18,61.1,136.1,1.918,1.896692,1.907346,TRUE,TRUE,0.75,,
2015-14-7-9:55:19,61.1,136.2,1.918,1.896692,1.907346,TRUE,TRUE,0.75,,
2015-14-7-9:55:20,61.1,136.2,1.90653,1.896692,1.901611,TRUE,TRUE,0.75,,
2015-14-7-9:55:22,61.1,136.2,1.895061,1.908185,1.901623,TRUE,TRUE,0.75,,
2015-14-7-9:55:23,61.1,136.3,1.837711,1.942664,1.8901875,TRUE,TRUE,0.75,,
2015-14-7-9:55:25,61.1,136.3,1.803301,1.908185,1.855743,TRUE,TRUE,0.75,,
2015-14-7-9:55:26,61.1,136.3,1.849181,1.919678,1.8844295,TRUE,TRUE,0.75,,
2015-14-7-9:55:27,61,136.3,1.895061,1.896692,1.8958765,TRUE,TRUE,0.75,,
2015-14-7-9:55:29,61,136.3,1.895061,1.85072,1.8728905,TRUE,TRUE,0.75,,
2015-14-7-9:55:30,61,136.4,1.94094,1.827734,1.884337,TRUE,TRUE,0.75,,
2015-14-7-9:55:32,61,136.4,1.998289,1.896692,1.9474905,TRUE,TRUE,0.75,,
2015-14-7-9:55:33,61,136.5,1.998289,1.919678,1.9589835,TRUE,TRUE,0.75,,
2015-14-7-9:55:34,61,136.5,1.998289,1.942664,1.9704765,TRUE,TRUE,0.75,,
2015-14-7-9:55:36,61.1,136.5,1.98682,1.96565,1.976235,TRUE,TRUE,0.75,,
2015-14-7-9:55:37,61.1,136.5,1.96388,2.023115,1.9934975,TRUE,TRUE,0.75,,
2015-14-7-9:55:39,61.1,136.4,1.92947,2.057594,1.993532,TRUE,TRUE,0.75,,
2015-14-7-9:55:40,61.1,136.4,1.918,2.057594,1.987797,TRUE,TRUE,0.75,,
2015-14-7-9:55:41,61.1,136.4,1.895061,2.011622,1.9533415,TRUE,TRUE,0.75,,
2015-14-7-9:55:43,61.1,136.4,1.849181,1.954157,1.901669,TRUE,TRUE,0.75,,
2015-14-7-9:55:44,61.2,136.3,1.803301,1.919678,1.8614895,TRUE,TRUE,0.75,,
2015-14-7-9:55:46,61.2,136.2,1.768892,1.908185,1.8385385,TRUE,TRUE,0.75,,
2015-14-7-9:55:47,61.2,136.2,1.745952,1.885199,1.8155755,TRUE,TRUE,0.75,,
2015-14-7-9:55:48,61.2,136.2,1.734482,1.839227,1.7868545,TRUE,TRUE,0.75,,
2015-14-7-9:55:50,61.2,136.2,1.757422,1.804748,1.781085,TRUE,TRUE,0.75,,
2015-14-7-9:55:51,61.2,136.1,1.780362,1.793254,1.786808,TRUE,TRUE,0.75,,
