time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],MARCHA,PARO,RPM
2015-20-7-10:10:8,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:9,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:11,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:12,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:14,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:15,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:16,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:18,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:19,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:21,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:22,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:23,24,24.1,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:25,23.9,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:26,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:28,24,24.1,1.73,1.77,TRUE,FALSE,3.219
2015-20-7-10:10:29,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:30,23.9,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:32,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:33,23.9,24.1,1.73,1.77,TRUE,FALSE,3.219
2015-20-7-10:10:35,23.9,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:36,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:37,23.9,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:10:39,23.9,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:40,23.9,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:10:42,23.9,24.1,1.75,1.74,TRUE,FALSE,3.219
2015-20-7-10:10:43,23.9,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:44,23.9,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:10:46,23.9,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:47,24,24.1,1.76,1.74,TRUE,FALSE,3.219
